S.No,Crime,Gender,Age,Income,Job,Maritalstatus,Education,Harm,Attack,AttackMethod,Perpetrator
443,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices,UnKnown
444,Misuse of Debit Cards or Credit Cards,Female,51 and Above,Low,Technical,Single,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
445,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Social Engineering,Known
446,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware,UnKnown
447,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Technical,Single,Under Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices,Known
448,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware,Known
449,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Middle,Justice and Security,Married,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware,UnKnown
450,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
451,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Retired,Single,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices,UnKnown
452,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Student,Single,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware,UnKnown
453,Misuse of Debit Cards or Credit Cards,Female,51 and Above,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
454,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
455,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
456,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Middle,Health Sector Manager,Single,Under Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
457,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
458,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Low,Health Sector Manager,Married,Under Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
459,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Technical,Single,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices,Known
460,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
461,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Low,Housewife,Married,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware,UnKnown
462,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices,Known
463,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Low,Others,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
464,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Retired,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
465,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Middle,Others,Single,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware,UnKnown
466,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
467,Misuse of Debit Cards or Credit Cards,Female,Between 28 and 37,Low,Housewife,Married,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware,Known
468,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware,UnKnown
469,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Health Sector Manager,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
470,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Others,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
471,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,IT Sector,Single,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices,Known
472,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Low,Technical,Married,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices,Known
473,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Retired,Married,High School,Withdrawing Money by Introducing Himself as a Bank Clerk,Hacking Social Media Accounts,Creating a Fake Shopping Site,UnKnown
474,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Others,Married,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices,Known
475,Misuse of Debit Cards or Credit Cards,Female,27 and Under,Middle,Health Sector Manager,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
476,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Student,Single,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices,Known
477,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Technical,Single,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices,Known
478,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices,Known
479,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Low,Technical,Single,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
480,Misuse of Debit Cards or Credit Cards,Male,27 and Under,High,Others,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
481,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Others,Married,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices,Known
482,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Technical,Single,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices,Known
483,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Middle,Others,Single,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices,Known
484,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,IT Sector,Married,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices,Known
485,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
486,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
487,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Low,Technical,Married,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices,Known
488,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Education,Married,Primary Education,Withdrawing Money by Introducing Himself as a Bank Clerk,Hacking Social Media Accounts,Creating a Fake Shopping Site,Known
489,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Social Engineering,Known
490,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Others,Married,Graduate,Withdrawing Money by Introducing Himself as a Bank Clerk,Hacking Social Media Accounts,Creating a Fake Shopping Site,UnKnown
491,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Technical,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
492,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
493,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices,Known
494,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware,Known
495,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Low,Technical,Single,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware,Known
496,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices,Known
497,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices,UnKnown
498,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Others,Married,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices,Known
499,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Middle,Health Sector Manager,Single,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
500,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Technical,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
501,Misuse of Debit Cards or Credit Cards,Male,27 and Under,High,Education,Single,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices,Known
502,Misuse of Debit Cards or Credit Cards,Female,Between 28 and 37,Low,Technical,Single,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices,Known
503,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Technical,Single,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices,Known
504,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware,Known
505,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices,UnKnown
506,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices,Known
507,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Low,Housewife,Single,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices,Known
508,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Others,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
509,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Student,Single,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices,Known
510,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Others,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
511,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Education,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
512,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Others,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
513,Misuse of Debit Cards or Credit Cards,Female,Between 28 and 37,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
514,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Justice and Security,Single,Under Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
515,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Middle,Others,Single,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware,Known
516,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,IT Sector,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
517,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Student,Single,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
518,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Low,Technical,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
519,Misuse of Debit Cards or Credit Cards,Female,51 and Above,Middle,Technical,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
520,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Retired,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
521,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
522,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
523,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Low,Housewife,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
524,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Single,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
525,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Health Sector Manager,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
526,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Low,Housewife,Married,Primary Education,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site,UnKnown
527,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Others,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
528,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Technical,Single,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices,Known
529,Hacking into the Information System and Capturing Data,Female,27 and Under,Middle,Technical,Married,High School,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Creating a Fake Shopping Site,Known
530,Hacking into the Information System and Capturing Data,Male,Between 38 and 50,Middle,Technical,Married,Primary Education,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media,UnKnown
531,Hacking into the Information System and Capturing Data,Male,Between 38 and 50,Low,Technical,Married,High School,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media,UnKnown
532,Hacking into the Information System and Capturing Data,Male,27 and Under,Middle,Others,Married,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,Known
533,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Low,Technical,Single,Primary Education,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Creating a Fake Shopping Site,Known
534,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Student,Single,Graduate,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Creating a Fake Shopping Site,UnKnown
535,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Technical,Single,Primary Education,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,Known
536,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Low,Technical,Married,Graduate,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,UnKnown
537,Hacking into the Information System and Capturing Data,Male,Between 38 and 50,Low,Technical,Married,High School,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Creating a Fake Shopping Site,UnKnown
538,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Low,Others,Married,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,Known
539,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Student,Single,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,Known
540,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Student,Single,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,Known
541,Hacking into the Information System and Capturing Data,Female,27 and Under,Middle,Justice and Security,Single,Graduate,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Card Copying / Generating Devices,Known
542,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Low,Technical,Married,Primary Education,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Card Copying / Generating Devices,Known
543,Hacking into the Information System and Capturing Data,Male,Between 38 and 50,Middle,Technical,Married,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,Known
544,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Middle,Technical,Single,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,Known
545,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Student,Single,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,Known
546,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Middle,Health Sector Manager,Married,Graduate,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media,Known
547,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Student,Single,Graduate,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,Known
548,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Technical,Single,Primary Education,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Creating a Fake Shopping Site,Known
549,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Middle,Technical,Single,Primary Education,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media,UnKnown
550,Hacking into the Information System and Capturing Data,Male,Between 38 and 50,Middle,Retired,Married,High School,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Creating a Fake Shopping Site,UnKnown
551,Hacking into the Information System and Capturing Data,Male,Between 38 and 50,Middle,Technical,Married,Primary Education,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media,UnKnown
552,Hacking into the Information System and Capturing Data,Male,51 and Above,Middle,Education,Married,Graduate,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Creating a Fake Shopping Site,UnKnown
553,Hacking into the Information System and Capturing Data,Female,51 and Above,Low,Retired,Married,Graduate,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media,UnKnown
554,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Middle,Technical,Married,Primary Education,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,Known
555,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Student,Single,Graduate,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,Known
556,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Middle,Education,Married,Graduate,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,UnKnown
557,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Middle,Technical,Married,High School,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media,UnKnown
558,Hacking into the Information System and Capturing Data,Male,Between 38 and 50,Middle,Technical,Married,High School,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media,UnKnown
559,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Student,Single,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,UnKnown
560,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Student,Single,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,UnKnown
561,Hacking into the Information System and Capturing Data,Female,27 and Under,Low,Student,Single,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,Known
562,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Low,Technical,Married,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,UnKnown
563,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Student,Single,Graduate,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,Known
564,Hacking into the Information System and Capturing Data,Male,Between 38 and 50,Low,Justice and Security,Married,Graduate,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,Known
565,Hacking into the Information System and Capturing Data,Male,Between 38 and 50,High,Technical,Married,Primary Education,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,UnKnown
566,Hacking into the Information System and Capturing Data,Female,27 and Under,Low,Student,Single,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,Known
567,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Student,Single,High School,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media,Known
568,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Low,Technical,Married,Primary Education,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media,Known
569,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Student,Single,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,Known
570,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Middle,IT Sector,Married,Graduate,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,Known
571,Hacking into the Information System and Capturing Data,Male,51 and Above,Middle,Technical,Married,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,Known
572,Hacking into the Information System and Capturing Data,Female,51 and Above,Middle,Education,Single,Graduate,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Creating a Fake Shopping Site,UnKnown
573,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Technical,Single,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,Known
574,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Technical,Married,Under Graduate,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,Known
575,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Middle,Justice and Security,Married,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,Known
576,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Student,Single,Graduate,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media,Known
577,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Middle,Technical,Married,High School,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Card Copying / Generating Devices,Known
578,Hacking into the Information System and Capturing Data,Female,Between 38 and 50,Middle,Health Sector Manager,Married,Graduate,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Creating a Fake Shopping Site,UnKnown
579,Hacking into the Information System and Capturing Data,Male,27 and Under,Middle,Technical,Single,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,Known
580,Hacking into the Information System and Capturing Data,Female,Between 38 and 50,Low,Technical,Single,Graduate,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Creating a Fake Shopping Site,Known
581,Hacking into the Information System and Capturing Data,Male,51 and Above,Middle,Finance Sector,Married,Graduate,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media,Known
582,Hacking into the Information System and Capturing Data,Male,Between 38 and 50,Middle,Technical,Married,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,Known
583,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Low,Technical,Married,Primary Education,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media,Known
584,Hacking into the Information System and Capturing Data,Female,Between 28 and 37,Low,Technical,Single,Primary Education,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media,Known
585,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Middle,Technical,Married,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,Known
586,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Low,Technical,Married,Graduate,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,Known
587,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Low,Technical,Married,Primary Education,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media,Known
588,Hacking into the Information System and Capturing Data,Female,27 and Under,Low,Student,Single,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,Known
589,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Low,Others,Married,High School,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Card Copying / Generating Devices,UnKnown
590,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Student,Single,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack,Known
591,Hacking into the Information System and Capturing Data,Male,Between 38 and 50,Middle,Justice and Security,Married,Graduate,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media,Known
592,Hacking into the Information System and Capturing Data,Male,51 and Above,Middle,Technical,Married,Graduate,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Creating a Fake Shopping Site,Known
593,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Technical,Single,High School,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media,Known
